,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Givpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Netretopanpir,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam,NonTreated-Xosam
UTZKV596,0.61,0.728,0.988,0.272,0.981,0.272,0.5654310959658012,0.981,0.008330992620051497,-0.43,0.333,0.94,0.667,0.987,0.333,0.4775557664936801,0.94,0.026872146400301365,0.64,0.739,0.998,0.261,0.981,0.261,0.583359492661719,0.981,0.008330992620051497
BJS08,-0.52,0.301,0.9,0.699,0.981,0.301,0.5214335044061567,0.9,0.045757490560675115,-0.43,0.333,0.94,0.667,0.987,0.333,0.4775557664936801,0.94,0.026872146400301365,1.35,0.912,1.0,0.0882,0.931,0.0882,1.0545314148681804,0.931,0.031050319018657353
WESXG1,1.51,0.935,0.999,0.0652,0.865,0.0652,1.1857524042680798,0.865,0.06298389253518578,-0.43,0.333,0.94,0.667,0.987,0.333,0.4775557664936801,0.94,0.026872146400301365,0.05,0.521,0.97,0.479,0.984,0.479,0.3196644865854368,0.97,0.01322826573375516
SQICP174,-0.66,0.255,0.898,0.745,0.981,0.255,0.5934598195660448,0.898,0.04672366333269562,-0.43,0.334,0.94,0.666,0.987,0.334,0.4762535331884355,0.94,0.026872146400301365,1.97,0.975,1.0,0.0247,0.817,0.0247,1.6073030467403342,0.817,0.08777794346758454
ANHF2,-0.9,0.185,0.897,0.815,0.981,0.185,0.7328282715969862,0.897,0.047207556955907906,-0.43,0.334,0.94,0.666,0.987,0.334,0.4762535331884355,0.94,0.026872146400301365,0.65,0.742,0.998,0.258,0.981,0.258,0.5883802940367698,0.981,0.008330992620051497
PEQ4,-0.14,0.443,0.952,0.557,0.981,0.443,0.3535962737769304,0.952,0.021363051615525673,-0.43,0.335,0.94,0.665,0.987,0.335,0.47495519296315475,0.94,0.026872146400301365,0.08,0.532,0.97,0.468,0.984,0.468,0.32975414692587596,0.97,0.01322826573375516
VAOGC5,1.78,0.962,0.999,0.0376,0.815,0.0376,1.424812155072339,0.815,0.08884239126002341,-0.43,0.335,0.94,0.665,0.987,0.335,0.47495519296315475,0.94,0.026872146400301365,0.33,0.629,0.975,0.371,0.984,0.371,0.43062609038495414,0.975,0.010995384301463193
QJG069,-1.32,0.0934,0.897,0.907,0.981,0.0934,1.0296531237699067,0.897,0.047207556955907906,-0.42,0.336,0.94,0.664,0.987,0.336,0.4736607226101559,0.94,0.026872146400301365,0.14,0.555,0.97,0.445,0.984,0.445,0.3516399890190684,0.97,0.01322826573375516
GNWL93,0.23,0.593,0.987,0.407,0.981,0.407,0.39040559077478,0.981,0.008330992620051497,-0.42,0.336,0.94,0.664,0.987,0.336,0.4736607226101559,0.94,0.026872146400301365,0.28,0.611,0.975,0.389,0.984,0.389,0.41005039867429227,0.975,0.010995384301463193
LMUL1,-1.88,0.0304,0.897,0.97,0.987,0.0304,1.5171264163912463,0.897,0.047207556955907906,-0.42,0.336,0.94,0.664,0.987,0.336,0.4736607226101559,0.94,0.026872146400301365,-0.26,0.399,0.952,0.601,0.984,0.399,0.3990271043132517,0.952,0.021363051615525673
VPT0,0.42,0.662,0.988,0.338,0.981,0.338,0.47108329972234525,0.981,0.008330992620051497,-0.42,0.337,0.94,0.663,0.987,0.337,0.47237009912866135,0.94,0.026872146400301365,-0.08,0.467,0.962,0.533,0.984,0.467,0.33068311943388784,0.962,0.016824927962187056
FHOG613,0.69,0.754,0.988,0.246,0.981,0.246,0.6090648928966209,0.981,0.008330992620051497,-0.42,0.337,0.94,0.663,0.987,0.337,0.47237009912866135,0.94,0.026872146400301365,1.65,0.95,1.0,0.0495,0.869,0.0495,1.3053948010664314,0.869,0.060980223551333534
RJT63,0.36,0.639,0.987,0.361,0.981,0.361,0.4424927980943421,0.981,0.008330992620051497,-0.42,0.338,0.94,0.662,0.987,0.338,0.47108329972234525,0.94,0.026872146400301365,0.23,0.591,0.974,0.409,0.984,0.409,0.38827669199265824,0.974,0.011441043121384482
DYBQ61,-0.84,0.2,0.897,0.8,0.981,0.2,0.6989700043360187,0.897,0.047207556955907906,-0.42,0.339,0.94,0.661,0.987,0.339,0.4698003017969178,0.94,0.026872146400301365,-0.62,0.266,0.925,0.734,0.984,0.266,0.575118363368933,0.925,0.03385826726096737
DTOY5,0.68,0.751,0.988,0.249,0.981,0.249,0.6038006529042637,0.981,0.008330992620051497,-0.41,0.339,0.94,0.661,0.987,0.339,0.4698003017969178,0.94,0.026872146400301365,1.67,0.953,1.0,0.0472,0.859,0.0472,1.3260580013659122,0.859,0.0660068361687577
CRHNM10,-0.28,0.391,0.931,0.609,0.981,0.391,0.40782324260413316,0.931,0.031050319018657353,-0.41,0.34,0.94,0.66,0.987,0.34,0.46852108295774486,0.94,0.026872146400301365,-0.58,0.282,0.925,0.718,0.984,0.282,0.549750891680639,0.925,0.03385826726096737
CCW82,0.61,0.73,0.988,0.27,0.981,0.27,0.5686362358410126,0.981,0.008330992620051497,-0.41,0.341,0.94,0.659,0.987,0.341,0.4672456210075022,0.94,0.026872146400301365,1.0,0.841,0.998,0.159,0.953,0.159,0.7986028756795485,0.953,0.02090709936167361
COM30,0.64,0.738,0.988,0.262,0.981,0.262,0.5816987086802545,0.981,0.008330992620051497,-0.41,0.342,0.94,0.658,0.987,0.342,0.46597389394386496,0.94,0.026872146400301365,1.23,0.89,1.0,0.11,0.937,0.11,0.958607314841775,0.937,0.02826040911222171
ZJAPG980,-1.23,0.109,0.897,0.891,0.981,0.109,0.9625735020593764,0.897,0.047207556955907906,-0.41,0.342,0.94,0.658,0.987,0.342,0.46597389394386496,0.94,0.026872146400301365,1.38,0.917,1.0,0.0834,0.931,0.0834,1.0788339493622612,0.931,0.031050319018657353
YMXQD8,0.56,0.711,0.988,0.289,0.981,0.289,0.5391021572434522,0.981,0.008330992620051497,-0.41,0.342,0.94,0.658,0.987,0.342,0.46597389394386496,0.94,0.026872146400301365,0.22,0.586,0.974,0.414,0.984,0.414,0.3829996588791011,0.974,0.011441043121384482
EBH71,-0.7,0.241,0.897,0.759,0.981,0.241,0.6179829574251317,0.897,0.047207556955907906,-0.41,0.343,0.94,0.657,0.987,0.343,0.46470587995722945,0.94,0.026872146400301365,-1.21,0.113,0.925,0.887,0.984,0.113,0.9469215565165803,0.925,0.03385826726096737
QXC718,-0.63,0.265,0.898,0.735,0.981,0.265,0.5767541260631921,0.898,0.04672366333269562,-0.4,0.343,0.94,0.657,0.987,0.343,0.46470587995722945,0.94,0.026872146400301365,-0.73,0.233,0.925,0.767,0.984,0.233,0.632644078973981,0.925,0.03385826726096737
NYAG3,0.46,0.679,0.988,0.321,0.981,0.321,0.4934949675951279,0.981,0.008330992620051497,-0.4,0.343,0.94,0.657,0.987,0.343,0.46470587995722945,0.94,0.026872146400301365,-2.03,0.0214,0.925,0.979,0.991,0.0214,1.6695862266508092,0.925,0.03385826726096737
EEYNK63,-0.51,0.306,0.905,0.694,0.981,0.306,0.51427857351842,0.905,0.043351420794796675,-0.4,0.344,0.94,0.656,0.987,0.344,0.46344155742846993,0.94,0.026872146400301365,1.45,0.927,1.0,0.073,0.929,0.073,1.136677139879544,0.929,0.03198428600635821
UUL8,0.52,0.697,0.988,0.303,0.981,0.303,0.518557371497695,0.981,0.008330992620051497,-0.4,0.344,0.94,0.656,0.987,0.344,0.46344155742846993,0.94,0.026872146400301365,-0.1,0.462,0.96,0.538,0.984,0.462,0.33535802444387447,0.96,0.017728766960431602
IYD389,-0.16,0.438,0.952,0.562,0.981,0.438,0.3585258894959005,0.952,0.021363051615525673,-0.4,0.344,0.94,0.656,0.987,0.344,0.46344155742846993,0.94,0.026872146400301365,0.04,0.514,0.97,0.486,0.984,0.486,0.3133637307377066,0.97,0.01322826573375516
XCNY468,0.54,0.705,0.988,0.295,0.981,0.295,0.530177984021837,0.981,0.008330992620051497,-0.4,0.344,0.94,0.656,0.987,0.344,0.46344155742846993,0.94,0.026872146400301365,1.88,0.97,1.0,0.0301,0.817,0.0301,1.5214335044061567,0.817,0.08777794346758454
YOC507,1.11,0.866,0.999,0.134,0.929,0.134,0.8728952016351923,0.929,0.03198428600635821,-0.4,0.345,0.94,0.655,0.987,0.345,0.4621809049267259,0.94,0.026872146400301365,0.3,0.618,0.975,0.382,0.984,0.382,0.41793663708829126,0.975,0.010995384301463193
SHW38,-0.11,0.458,0.962,0.542,0.981,0.458,0.3391345219961308,0.962,0.016824927962187056,-0.4,0.345,0.94,0.655,0.987,0.345,0.4621809049267259,0.94,0.026872146400301365,1.62,0.947,1.0,0.0529,0.89,0.0529,1.2765443279648143,0.89,0.05060999335508721
JMS39,-0.96,0.168,0.897,0.832,0.981,0.168,0.7746907182741372,0.897,0.047207556955907906,-0.4,0.345,0.94,0.655,0.987,0.345,0.4621809049267259,0.94,0.026872146400301365,0.4,0.656,0.981,0.344,0.984,0.344,0.46344155742846993,0.981,0.008330992620051497
UMUZ734,0.27,0.607,0.987,0.393,0.981,0.393,0.4056074496245733,0.981,0.008330992620051497,-0.4,0.345,0.94,0.655,0.987,0.345,0.4621809049267259,0.94,0.026872146400301365,-0.14,0.446,0.96,0.554,0.984,0.446,0.35066514128785814,0.96,0.017728766960431602
RADZ248,-2.22,0.0133,0.897,0.987,0.99,0.0133,1.8761483590329142,0.897,0.047207556955907906,-0.39,0.347,0.94,0.653,0.987,0.347,0.4596705252091263,0.94,0.026872146400301365,0.22,0.588,0.974,0.412,0.984,0.412,0.3851027839668654,0.974,0.011441043121384482
UHG324,1.54,0.938,0.999,0.0622,0.86,0.0622,1.2062096153091812,0.86,0.06550154875643228,-0.39,0.347,0.94,0.653,0.987,0.347,0.4596705252091263,0.94,0.026872146400301365,0.18,0.572,0.972,0.428,0.984,0.428,0.368556230986828,0.972,0.012333735073725434
FNGQ80,1.1,0.865,0.999,0.135,0.932,0.135,0.8696662315049939,0.932,0.030584087646018613,-0.39,0.347,0.94,0.653,0.987,0.347,0.4596705252091263,0.94,0.026872146400301365,0.25,0.599,0.974,0.401,0.984,0.401,0.39685562737981767,0.974,0.011441043121384482
SLQ58,-0.55,0.293,0.898,0.707,0.981,0.293,0.5331323796458906,0.898,0.04672366333269562,-0.39,0.348,0.94,0.652,0.987,0.348,0.4584207560534191,0.94,0.026872146400301365,1.11,0.867,1.0,0.133,0.95,0.133,0.8761483590329142,0.95,0.022276394711152253
IAFXD03,-0.22,0.412,0.946,0.588,0.981,0.412,0.3851027839668654,0.946,0.02410886359820726,-0.39,0.348,0.94,0.652,0.987,0.348,0.4584207560534191,0.94,0.026872146400301365,-0.89,0.188,0.925,0.812,0.984,0.188,0.7258421507363202,0.925,0.03385826726096737
NBDY8,-0.61,0.269,0.898,0.731,0.981,0.269,0.5702477199975919,0.898,0.04672366333269562,-0.39,0.348,0.94,0.652,0.987,0.348,0.4584207560534191,0.94,0.026872146400301365,0.9,0.816,0.998,0.184,0.953,0.184,0.7351821769904635,0.953,0.02090709936167361
FSN2,0.13,0.552,0.976,0.448,0.981,0.448,0.348721986001856,0.976,0.010550182333308195,-0.39,0.349,0.94,0.651,0.987,0.349,0.45717457304082015,0.94,0.026872146400301365,-0.63,0.264,0.925,0.736,0.984,0.264,0.5783960731301689,0.925,0.03385826726096737
JSY9,0.48,0.683,0.988,0.317,0.981,0.317,0.4989407377822485,0.981,0.008330992620051497,-0.39,0.349,0.94,0.651,0.987,0.349,0.45717457304082015,0.94,0.026872146400301365,-1.29,0.0991,0.925,0.901,0.984,0.0991,1.0039263455147247,0.925,0.03385826726096737
ZGMA18,0.52,0.699,0.988,0.301,0.981,0.301,0.5214335044061567,0.981,0.008330992620051497,-0.39,0.349,0.94,0.651,0.987,0.349,0.45717457304082015,0.94,0.026872146400301365,0.69,0.754,0.998,0.246,0.979,0.246,0.6090648928966209,0.979,0.009217308196862183
WGAT894,0.75,0.775,0.993,0.225,0.981,0.225,0.6478174818886375,0.981,0.008330992620051497,-0.39,0.35,0.94,0.65,0.987,0.35,0.4559319556497244,0.94,0.026872146400301365,0.14,0.556,0.97,0.444,0.984,0.444,0.3526170298853802,0.97,0.01322826573375516
TIU75,1.26,0.896,0.999,0.104,0.915,0.104,0.9829666607012196,0.915,0.038578905933551705,-0.39,0.35,0.94,0.65,0.987,0.35,0.4559319556497244,0.94,0.026872146400301365,1.47,0.93,1.0,0.0703,0.929,0.0703,1.153044674980176,0.929,0.03198428600635821
ZVC2,-0.21,0.417,0.95,0.583,0.981,0.417,0.3798639450262425,0.95,0.022276394711152253,-0.38,0.351,0.94,0.649,0.987,0.351,0.4546928835341759,0.94,0.026872146400301365,1.29,0.901,1.0,0.0991,0.937,0.0991,1.0039263455147247,0.937,0.02826040911222171
LJGP642,1.71,0.956,0.999,0.0436,0.815,0.0436,1.360513510731414,0.815,0.08884239126002341,-0.38,0.351,0.94,0.649,0.987,0.351,0.4546928835341759,0.94,0.026872146400301365,0.23,0.59,0.974,0.41,0.984,0.41,0.38721614328026455,0.974,0.011441043121384482
XRF02,0.3,0.618,0.987,0.382,0.981,0.382,0.41793663708829126,0.981,0.008330992620051497,-0.38,0.351,0.94,0.649,0.987,0.351,0.4546928835341759,0.94,0.026872146400301365,1.02,0.846,0.998,0.154,0.953,0.154,0.8124792791635369,0.953,0.02090709936167361
HYS50,0.52,0.697,0.988,0.303,0.981,0.303,0.518557371497695,0.981,0.008330992620051497,-0.38,0.352,0.94,0.648,0.987,0.352,0.453457336521869,0.94,0.026872146400301365,0.96,0.832,0.998,0.168,0.953,0.168,0.7746907182741372,0.953,0.02090709936167361
OQB65,-1.24,0.108,0.897,0.892,0.981,0.108,0.9665762445130504,0.897,0.047207556955907906,-0.38,0.353,0.94,0.647,0.987,0.353,0.4522252946121775,0.94,0.026872146400301365,0.33,0.628,0.975,0.372,0.984,0.372,0.4294570601181025,0.975,0.010995384301463193
GAPL137,0.24,0.596,0.987,0.404,0.981,0.404,0.393618634889395,0.981,0.008330992620051497,-0.38,0.353,0.94,0.647,0.987,0.353,0.4522252946121775,0.94,0.026872146400301365,0.47,0.682,0.981,0.318,0.984,0.318,0.4975728800155673,0.981,0.008330992620051497
OFX480,-0.74,0.229,0.897,0.771,0.981,0.229,0.640164517660112,0.897,0.047207556955907906,-0.38,0.353,0.94,0.647,0.987,0.353,0.4522252946121775,0.94,0.026872146400301365,-0.58,0.281,0.925,0.719,0.984,0.281,0.5512936800949201,0.925,0.03385826726096737
AVSXD452,-0.17,0.431,0.952,0.569,0.981,0.431,0.3655227298392684,0.952,0.021363051615525673,-0.38,0.353,0.94,0.647,0.987,0.353,0.4522252946121775,0.94,0.026872146400301365,0.13,0.553,0.97,0.447,0.984,0.447,0.34969247686806354,0.97,0.01322826573375516
CWOLN1,0.12,0.546,0.973,0.454,0.981,0.454,0.34294414714289606,0.973,0.0118871597316481,-0.38,0.353,0.94,0.647,0.987,0.353,0.4522252946121775,0.94,0.026872146400301365,1.04,0.851,0.999,0.149,0.953,0.149,0.826813731587726,0.953,0.02090709936167361
TATG032,-0.85,0.197,0.897,0.803,0.981,0.197,0.7055337738384071,0.897,0.047207556955907906,-0.38,0.354,0.94,0.646,0.987,0.354,0.4509967379742122,0.94,0.026872146400301365,0.22,0.585,0.974,0.415,0.984,0.415,0.3819519032879073,0.974,0.011441043121384482
JQMIY341,0.85,0.803,0.997,0.197,0.981,0.197,0.7055337738384071,0.981,0.008330992620051497,-0.38,0.354,0.94,0.646,0.987,0.354,0.4509967379742122,0.94,0.026872146400301365,-0.51,0.306,0.931,0.694,0.984,0.306,0.51427857351842,0.931,0.031050319018657353
MFCP85,0.18,0.573,0.986,0.427,0.981,0.427,0.36957212497497616,0.981,0.008330992620051497,-0.37,0.354,0.94,0.646,0.987,0.354,0.4509967379742122,0.94,0.026872146400301365,-0.02,0.492,0.966,0.508,0.984,0.492,0.30803489723263966,0.966,0.015022873584506671
RMZ5,-0.29,0.385,0.929,0.615,0.981,0.385,0.4145392704914993,0.929,0.03198428600635821,-0.37,0.355,0.94,0.645,0.987,0.355,0.44977164694490596,0.94,0.026872146400301365,-0.72,0.237,0.925,0.763,0.984,0.237,0.6252516539898961,0.925,0.03385826726096737
VCKN945,2.08,0.981,0.999,0.0189,0.662,0.0189,1.723538195826756,0.662,0.17914201056030005,-0.37,0.355,0.94,0.645,0.987,0.355,0.44977164694490596,0.94,0.026872146400301365,0.15,0.56,0.971,0.44,0.984,0.44,0.3565473235138126,0.971,0.012780770091995148
TUZ56,-1.2,0.114,0.897,0.886,0.981,0.114,0.9430951486635274,0.897,0.047207556955907906,-0.37,0.356,0.94,0.644,0.987,0.356,0.44855000202712486,0.94,0.026872146400301365,-0.93,0.177,0.925,0.823,0.984,0.177,0.7520267336381934,0.925,0.03385826726096737
RGWZ094,1.42,0.923,0.999,0.0775,0.915,0.0775,1.1106982974936896,0.915,0.038578905933551705,-0.37,0.356,0.94,0.644,0.987,0.356,0.44855000202712486,0.94,0.026872146400301365,1.5,0.933,1.0,0.0669,0.929,0.0669,1.174573882232177,0.929,0.03198428600635821
OJRSA17,0.09,0.534,0.971,0.466,0.981,0.466,0.3316140833099998,0.971,0.012780770091995148,-0.37,0.357,0.94,0.643,0.987,0.357,0.4473317838878068,0.94,0.026872146400301365,-1.45,0.074,0.925,0.926,0.986,0.074,1.1307682802690238,0.925,0.03385826726096737
JVNA392,0.27,0.605,0.987,0.395,0.981,0.395,0.40340290437353976,0.981,0.008330992620051497,-0.37,0.357,0.94,0.643,0.987,0.357,0.4473317838878068,0.94,0.026872146400301365,-0.77,0.221,0.925,0.779,0.984,0.221,0.6556077263148893,0.925,0.03385826726096737
IZCX0,0.37,0.644,0.987,0.356,0.981,0.356,0.44855000202712486,0.981,0.008330992620051497,-0.36,0.359,0.94,0.641,0.987,0.359,0.44490555142168087,0.94,0.026872146400301365,1.74,0.959,1.0,0.0412,0.844,0.0412,1.3851027839668655,0.844,0.07365755337434496
YYHQ8,0.21,0.583,0.987,0.417,0.981,0.417,0.3798639450262425,0.981,0.008330992620051497,-0.36,0.359,0.94,0.641,0.987,0.359,0.44490555142168087,0.94,0.026872146400301365,0.97,0.835,0.998,0.165,0.953,0.165,0.7825160557860937,0.953,0.02090709936167361
TNV9,1.39,0.918,0.999,0.0817,0.915,0.0817,1.0877779434675845,0.915,0.038578905933551705,-0.36,0.361,0.94,0.639,0.987,0.361,0.4424927980943421,0.94,0.026872146400301365,1.1,0.864,1.0,0.136,0.953,0.136,0.8664610916297825,0.953,0.02090709936167361
CNDO96,0.14,0.556,0.981,0.444,0.981,0.444,0.3526170298853802,0.981,0.008330992620051497,-0.36,0.361,0.94,0.639,0.987,0.361,0.4424927980943421,0.94,0.026872146400301365,-0.44,0.33,0.944,0.67,0.984,0.33,0.4814860601221125,0.944,0.02502800570193105
PUC2,-0.84,0.201,0.897,0.799,0.981,0.201,0.6968039425795111,0.897,0.047207556955907906,-0.35,0.361,0.94,0.639,0.987,0.361,0.4424927980943421,0.94,0.026872146400301365,-0.94,0.174,0.925,0.826,0.984,0.174,0.7594507517174003,0.925,0.03385826726096737
YPA9,0.03,0.511,0.97,0.489,0.981,0.489,0.3106911408763798,0.97,0.01322826573375516,-0.35,0.362,0.94,0.638,0.987,0.362,0.4412914294668343,0.94,0.026872146400301365,-0.01,0.494,0.967,0.506,0.984,0.494,0.30627305107635305,0.967,0.014573525916998339
EYJMH0,1.72,0.957,0.999,0.0426,0.815,0.0426,1.3705904008972811,0.815,0.08884239126002341,-0.35,0.363,0.94,0.637,0.987,0.363,0.4400933749638875,0.94,0.026872146400301365,0.13,0.553,0.97,0.447,0.984,0.447,0.34969247686806354,0.97,0.01322826573375516
XXD9,1.64,0.95,0.999,0.0504,0.826,0.0504,1.2975694635544748,0.826,0.0830199526796178,-0.35,0.363,0.94,0.637,0.987,0.363,0.4400933749638875,0.94,0.026872146400301365,0.63,0.737,0.998,0.263,0.981,0.263,0.5800442515102421,0.981,0.008330992620051497
WKFU143,-0.79,0.214,0.897,0.786,0.981,0.214,0.6695862266508091,0.897,0.047207556955907906,-0.35,0.363,0.94,0.637,0.987,0.363,0.4400933749638875,0.94,0.026872146400301365,1.46,0.927,1.0,0.0727,0.929,0.0727,1.138465589140962,0.929,0.03198428600635821
RRIW87,2.25,0.988,0.999,0.0122,0.638,0.0122,1.9136401693252518,0.638,0.19517932127883766,-0.35,0.363,0.94,0.637,0.987,0.363,0.4400933749638875,0.94,0.026872146400301365,-1.4,0.0804,0.925,0.92,0.986,0.0804,1.0947439512515487,0.925,0.03385826726096737
MBWXV792,-0.89,0.186,0.897,0.814,0.981,0.186,0.7304870557820837,0.897,0.047207556955907906,-0.35,0.363,0.94,0.637,0.987,0.363,0.4400933749638875,0.94,0.026872146400301365,-0.31,0.378,0.952,0.622,0.984,0.378,0.4225082001627747,0.952,0.021363051615525673
HQD69,-0.4,0.344,0.914,0.656,0.981,0.344,0.46344155742846993,0.914,0.039053804266168564,-0.35,0.364,0.94,0.636,0.987,0.364,0.438898616350944,0.94,0.026872146400301365,1.75,0.96,1.0,0.04,0.844,0.04,1.3979400086720375,0.844,0.07365755337434496
JEG28,-0.45,0.325,0.909,0.675,0.981,0.325,0.4881166390211256,0.909,0.041436116778032536,-0.35,0.364,0.94,0.636,0.987,0.364,0.438898616350944,0.94,0.026872146400301365,1.37,0.915,1.0,0.0847,0.931,0.0847,1.072116589669293,0.931,0.031050319018657353
RARKT5,-1.72,0.0428,0.897,0.957,0.985,0.0428,1.368556230986828,0.897,0.047207556955907906,-0.34,0.365,0.94,0.635,0.987,0.365,0.4377071355435253,0.94,0.026872146400301365,-1.3,0.096,0.925,0.904,0.984,0.096,1.0177287669604316,0.925,0.03385826726096737
EAU9,-1.57,0.0577,0.897,0.942,0.981,0.0577,1.2388241868442686,0.897,0.047207556955907906,-0.34,0.366,0.94,0.634,0.987,0.366,0.43651891460558934,0.94,0.026872146400301365,1.48,0.93,1.0,0.0696,0.929,0.0696,1.157390760389438,0.929,0.03198428600635821
JEK7,0.68,0.751,0.988,0.249,0.981,0.249,0.6038006529042637,0.981,0.008330992620051497,-0.34,0.367,0.94,0.633,0.987,0.367,0.4353339357479107,0.94,0.026872146400301365,-0.1,0.459,0.96,0.541,0.984,0.459,0.33818731446273875,0.96,0.017728766960431602
QTP5,-1.12,0.13,0.897,0.87,0.981,0.13,0.8860566476931632,0.897,0.047207556955907906,-0.34,0.368,0.94,0.632,0.987,0.368,0.43415218132648237,0.94,0.026872146400301365,-1.33,0.0914,0.925,0.909,0.984,0.0914,1.0390538042661686,0.925,0.03385826726096737
AMRU90,-0.88,0.188,0.897,0.812,0.981,0.188,0.7258421507363202,0.897,0.047207556955907906,-0.34,0.369,0.94,0.631,0.987,0.369,0.4329736338409396,0.94,0.026872146400301365,0.25,0.599,0.974,0.401,0.984,0.401,0.39685562737981767,0.974,0.011441043121384482
ILQRI3,-0.61,0.272,0.898,0.728,0.981,0.272,0.5654310959658012,0.898,0.04672366333269562,-0.33,0.369,0.94,0.631,0.987,0.369,0.4329736338409396,0.94,0.026872146400301365,0.77,0.779,0.998,0.221,0.979,0.221,0.6556077263148893,0.979,0.009217308196862183
RZBU8,1.63,0.948,0.999,0.052,0.826,0.052,1.2839966563652008,0.826,0.0830199526796178,-0.33,0.37,0.94,0.63,0.987,0.37,0.431798275933005,0.94,0.026872146400301365,-0.71,0.238,0.925,0.762,0.984,0.238,0.623423042943488,0.925,0.03385826726096737
EPL31,1.25,0.894,0.999,0.106,0.915,0.106,0.9746941347352298,0.915,0.038578905933551705,-0.33,0.37,0.94,0.63,0.987,0.37,0.431798275933005,0.94,0.026872146400301365,0.84,0.798,0.998,0.202,0.973,0.202,0.6946486305533762,0.973,0.0118871597316481
VSJDP950,1.17,0.88,0.999,0.12,0.915,0.12,0.9208187539523752,0.915,0.038578905933551705,-0.33,0.37,0.94,0.63,0.987,0.37,0.431798275933005,0.94,0.026872146400301365,0.53,0.703,0.986,0.297,0.984,0.297,0.5272435506827877,0.984,0.007004901568658489
CRUO9,-1.23,0.109,0.897,0.891,0.981,0.109,0.9625735020593764,0.897,0.047207556955907906,-0.33,0.371,0.94,0.629,0.987,0.371,0.43062609038495414,0.94,0.026872146400301365,-0.05,0.482,0.965,0.518,0.984,0.482,0.31695296176115045,0.965,0.015472686656207449
KBIY48,1.01,0.843,0.999,0.157,0.953,0.157,0.8041003475907662,0.953,0.02090709936167361,-0.33,0.372,0.94,0.628,0.987,0.372,0.4294570601181025,0.94,0.026872146400301365,-0.58,0.281,0.925,0.719,0.984,0.281,0.5512936800949201,0.925,0.03385826726096737
IJHFW132,-0.27,0.395,0.934,0.605,0.981,0.395,0.40340290437353976,0.934,0.029653123769906618,-0.33,0.372,0.94,0.628,0.987,0.372,0.4294570601181025,0.94,0.026872146400301365,-0.74,0.23,0.925,0.77,0.984,0.23,0.638272163982407,0.925,0.03385826726096737
RKF410,0.68,0.752,0.988,0.248,0.981,0.248,0.6055483191737837,0.981,0.008330992620051497,-0.33,0.373,0.94,0.627,0.987,0.373,0.4282911681913124,0.94,0.026872146400301365,-0.06,0.475,0.962,0.525,0.984,0.475,0.3233063903751334,0.962,0.016824927962187056
PBWSO45,0.63,0.735,0.988,0.265,0.981,0.265,0.5767541260631921,0.981,0.008330992620051497,-0.33,0.373,0.94,0.627,0.987,0.373,0.4282911681913124,0.94,0.026872146400301365,1.35,0.912,1.0,0.0884,0.931,0.0884,1.0535477349869269,0.931,0.031050319018657353
SSOE512,-2.11,0.0172,0.897,0.983,0.99,0.0172,1.764471553092451,0.897,0.047207556955907906,-0.32,0.373,0.94,0.627,0.987,0.373,0.4282911681913124,0.94,0.026872146400301365,0.44,0.669,0.981,0.331,0.984,0.331,0.48017200622428124,0.981,0.008330992620051497
KEX8,1.72,0.957,0.999,0.0428,0.815,0.0428,1.368556230986828,0.815,0.08884239126002341,-0.32,0.374,0.94,0.626,0.987,0.374,0.42712839779951983,0.94,0.026872146400301365,-0.69,0.245,0.925,0.755,0.984,0.245,0.6108339156354675,0.925,0.03385826726096737
